,Address
Boynton Elementary School,3938 Boynton Drive Ringgold   GA 30736-9801
Cloud Springs Elementary School,163 Fernwood Drive Rossville   GA 30741-3462
Graysville Elementary School,944 Graysville Road Ringgold   GA 30736-10
Lakeview Middle School,416 Cross Street Rossville   GA 30741-3053
Lakeview-Fort Oglethorpe High School,1850 Battlefield Parkway Fort Oglethorpe   GA 30742-3947
Ringgold Elementary School,322 Evitt Lane Ringgold   GA 30736-2820
Ringgold High School,29 Tiger Trail Ringgold   GA 30736-2024
Ringgold Middle School,217 Tiger Trail Ringgold   GA 30736
Tiger Creek Elementary School,134 Rhea Mcclanahan Drive Tunnel Hill   GA 30755
West Side Elementary School,72 Braves Lane Rossville   GA 30741-3252
